"FishNb","ExpID","ExpLength","Fps","BL1","BL2","BL3","BL4","BL5","BL6","BL7","BL8","BL9","BL10"
2,"exp02H20141127_14h13",69.28,50,37.33166,36.10571,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141127_16h29",63.6593333333333,50,32.7632,27.80527,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141128_16h06",77.4513333333333,50,29.03267,32.58696,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141204_16h01",57.315,50,37.10758,35.24364,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141204_17h28",69.2753333333333,50,29.58718,29.81598,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141205_16h11",86.5776666666667,50,38.08582,39.08639,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141205_17h37",54.3853333333333,50,28.49483,33.13498,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141211_11h11",53.21,50,35.18351,33.81006,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141212_15h45",54.6193333333333,50,32.13616,30.69801,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141212_17h12",66.0513333333333,50,32.22386,35.51345,NA,NA,NA,NA,NA,NA,NA,NA
5,"exp05H20140926_10h50",54.2763333333333,50,31.55549,31.55549,31.55549,31.55549,31.55549,NA,NA,NA,NA,NA
5,"exp05H20141001_10h05",50.6363333333333,50,32.02189,32.02189,32.02189,32.02189,32.02189,NA,NA,NA,NA,NA
5,"exp05H20141003_15h00",63.1403333333333,50,32.78089,32.78089,32.78089,32.78089,32.78089,NA,NA,NA,NA,NA
5,"exp05H20141008_15h30",52.2843333333333,50,35.78304,28.28672,30.45437,28.53883,29.73496,NA,NA,NA,NA,NA
5,"exp05H20141010_10h38",53.9643333333333,50,28.42147,35.12326,32.92972,29.19092,29.83144,NA,NA,NA,NA,NA
5,"exp05H20141015_12h50",53.7643333333333,50,29.37159,34.79106,31.02028,33.37592,28.56134,NA,NA,NA,NA,NA
5,"exp05H20141022_11h45",53.5243333333333,50,29.24133,30.2976,31.74108,30.46716,36.14555,NA,NA,NA,NA,NA
5,"exp05H20141023_16h20",52.3323333333333,50,29.9306,33.57215,30.05928,35.36093,34.78597,NA,NA,NA,NA,NA
5,"exp05H20141029_14h20",52.4603333333333,50,28.84167,31.13711,29.27104,33.75926,29.49912,NA,NA,NA,NA,NA
5,"exp05H20141030_11h15",56.8683333333333,50,30.22455,30.55813,32.26797,26.8432,31.43337,NA,NA,NA,NA,NA